vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2023-01-01T00:09:46.000,2023-01-01T00:37:12.000,1.0,6.3,1.0,N,158,24,1,30.3,3.5,0.5,5.29,0.0,1.0,40.59,2.5,0.0
2,2023-01-01T00:47:17.000,2023-01-01T00:55:30.000,1.0,1.24,1.0,N,90,158,2,9.3,1.0,0.5,0.0,0.0,1.0,14.3,2.5,0.0
2,2023-01-01T00:36:25.000,2023-01-01T00:50:02.000,1.0,3.34,1.0,N,161,146,1,17.7,1.0,0.5,5.68,0.0,1.0,28.38,2.5,0.0
2,2023-01-01T00:47:29.000,2023-01-01T00:55:49.000,1.0,0.0,1.0,N,233,141,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2023-01-01T00:02:19.000,2023-01-01T00:44:02.000,1.0,7.49,1.0,N,162,37,2,41.5,1.0,0.5,0.0,0.0,1.0,46.5,2.5,0.0
2,2022-12-31T23:58:27.000,2023-01-01T00:02:21.000,1.0,0.49,1.0,N,229,237,1,5.8,1.0,0.5,0.08,0.0,1.0,10.88,2.5,0.0
2,2023-01-01T00:25:22.000,2023-01-01T00:34:30.000,4.0,1.96,1.0,N,142,238,2,11.4,1.0,0.5,0.0,0.0,1.0,16.4,2.5,0.0
2,2023-01-01T00:56:12.000,2023-01-01T01:02:07.000,1.0,0.83,1.0,N,74,41,2,7.9,1.0,0.5,0.0,0.0,1.0,10.4,0.0,0.0
2,2023-01-01T00:45:25.000,2023-01-01T00:53:29.000,1.0,1.69,1.0,N,238,262,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
1,2023-01-01T00:35:40.000,2023-01-01T00:57:52.000,2.0,9.0,1.0,N,140,47,1,37.3,3.5,0.5,8.45,0.0,1.0,50.75,2.5,0.0
1,2023-01-01T00:34:23.000,2023-01-01T00:44:54.000,1.0,1.5,1.0,N,87,144,2,10.0,3.5,0.5,0.0,0.0,1.0,15.0,2.5,0.0
2,2023-01-01T00:23:52.000,2023-01-01T00:34:57.000,2.0,1.53,1.0,N,79,45,1,12.1,1.0,0.5,0.0,0.0,1.0,17.1,2.5,0.0
2,2023-01-01T00:30:31.000,2023-01-01T00:42:48.000,2.0,3.21,1.0,N,13,48,2,16.3,1.0,0.5,0.0,0.0,1.0,21.3,2.5,0.0
2,2023-01-01T00:42:01.000,2023-01-01T00:49:44.000,1.0,1.14,1.0,N,264,79,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
1,2023-01-01T00:15:05.000,2023-01-01T00:32:57.000,0.0,2.2,1.0,N,113,162,2,14.9,3.5,0.5,0.0,0.0,1.0,19.9,2.5,0.0
2,2023-01-01T00:28:16.000,2023-01-01T00:33:30.000,1.0,1.18,1.0,N,262,141,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
2,2023-01-01T00:36:02.000,2023-01-01T00:45:10.000,1.0,2.83,1.0,N,166,152,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0
1,2023-01-01T00:30:12.000,2023-01-01T00:40:58.000,2.0,2.1,1.0,N,263,239,1,12.8,3.5,0.5,3.55,0.0,1.0,21.35,2.5,0.0
2,2023-01-01T00:52:25.000,2023-01-01T01:18:07.000,1.0,3.47,1.0,N,158,229,1,24.0,1.0,0.5,4.0,0.0,1.0,33.0,2.5,0.0
2,2023-01-01T00:06:39.000,2023-01-01T00:10:02.000,1.0,0.52,1.0,N,237,237,2,5.1,1.0,0.5,0.0,0.0,1.0,10.1,2.5,0.0
2,2023-01-01T00:45:00.000,2023-01-01T00:55:24.000,1.0,1.56,1.0,N,231,79,1,11.4,1.0,0.5,1.64,0.0,1.0,18.04,2.5,0.0
2,2023-01-01T00:53:35.000,2023-01-01T00:57:18.000,2.0,0.92,1.0,N,140,263,1,6.5,1.0,0.5,1.15,0.0,1.0,12.65,2.5,0.0
2,2023-01-01T00:59:34.000,2023-01-01T01:03:00.000,1.0,0.84,1.0,N,162,141,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2023-01-01T00:28:58.000,2023-01-01T00:49:15.000,1.0,3.76,1.0,N,166,237,2,22.6,1.0,0.5,0.0,0.0,1.0,27.6,2.5,0.0
1,2023-01-01T00:51:10.000,2023-01-01T01:08:35.000,4.0,1.6,1.0,N,141,164,2,13.5,3.5,0.5,0.0,0.0,1.0,18.5,2.5,0.0
2,2023-01-01T00:09:56.000,2023-01-01T00:26:13.000,1.0,5.08,1.0,N,79,262,1,24.0,1.0,0.5,5.8,0.0,1.0,34.8,2.5,0.0
2,2023-01-01T00:22:39.000,2023-01-01T01:30:45.000,1.0,16.02,1.0,N,132,265,2,61.1,1.0,0.5,0.0,0.0,1.0,64.85,0.0,1.25
1,2023-01-01T00:53:37.000,2023-01-01T01:23:16.000,1.0,10.2,1.0,N,161,127,2,42.9,3.5,0.5,0.0,0.0,1.0,47.9,2.5,0.0
2,2023-01-01T00:20:38.000,2023-01-01T00:21:26.000,1.0,0.08,1.0,N,75,75,2,3.0,1.0,0.5,0.0,0.0,1.0,5.5,0.0,0.0
1,2023-01-01T00:45:15.000,2023-01-01T01:06:54.000,2.0,3.2,1.0,N,234,87,1,21.2,3.5,0.5,2.0,0.0,1.0,28.2,2.5,0.0
1,2023-01-01T00:38:54.000,2023-01-01T00:51:07.000,2.0,2.7,1.0,N,24,141,2,14.2,3.5,0.5,0.0,0.0,1.0,19.2,2.5,0.0
2,2023-01-01T00:21:25.000,2023-01-01T00:45:36.000,2.0,7.7,1.0,N,170,195,1,34.5,1.0,0.5,7.9,0.0,1.0,47.4,2.5,0.0
1,2023-01-01T00:48:02.000,2023-01-01T01:10:10.000,1.0,2.8,1.0,N,161,114,1,17.7,3.5,0.5,1.0,0.0,1.0,23.7,2.5,0.0
2,2023-01-01T00:34:39.000,2023-01-01T00:40:25.000,2.0,0.85,1.0,N,79,113,4,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
2,2023-01-01T00:36:38.000,2023-01-01T00:56:05.000,1.0,2.62,1.0,N,246,125,1,19.8,1.0,0.5,4.96,0.0,1.0,29.76,2.5,0.0
2,2023-01-01T00:35:47.000,2023-01-01T00:53:44.000,1.0,3.56,1.0,N,229,238,1,19.8,1.0,0.5,4.96,0.0,1.0,29.76,2.5,0.0
2,2023-01-01T00:06:40.000,2023-01-01T00:25:09.000,1.0,7.56,1.0,Y,249,228,1,31.0,1.0,0.5,7.2,0.0,1.0,43.2,2.5,0.0
2,2023-01-01T00:28:13.000,2023-01-01T00:50:57.000,2.0,9.99,1.0,N,162,244,2,40.1,1.0,0.5,0.0,0.0,1.0,45.1,2.5,0.0
2,2023-01-01T00:09:28.000,2023-01-01T00:15:53.000,1.0,2.06,1.0,N,263,74,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0
2,2023-01-01T00:11:35.000,2023-01-01T00:24:56.000,1.0,1.79,1.0,N,186,229,2,13.5,1.0,0.5,0.0,0.0,1.0,18.5,2.5,0.0
2,2023-01-01T00:44:16.000,2023-01-01T00:49:28.000,1.0,0.67,1.0,N,239,238,2,7.2,1.0,0.5,0.0,0.0,1.0,12.2,2.5,0.0
1,2023-01-01T00:52:06.000,2023-01-01T01:02:18.000,2.0,1.7,1.0,N,161,164,4,11.4,3.5,0.5,0.0,0.0,1.0,16.4,2.5,0.0
1,2023-01-01T00:31:30.000,2023-01-01T00:46:51.000,2.0,4.1,1.0,N,170,75,2,19.1,3.5,0.5,0.0,0.0,1.0,24.1,2.5,0.0
2,2023-01-01T00:09:48.000,2023-01-01T00:24:58.000,1.0,4.79,1.0,N,107,87,1,22.6,1.0,0.5,5.0,0.0,1.0,32.6,2.5,0.0
2,2023-01-01T00:53:01.000,2023-01-01T01:01:45.000,1.0,1.8,1.0,N,234,68,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0
2,2023-01-01T00:33:44.000,2023-01-01T00:39:04.000,1.0,1.58,1.0,N,237,236,1,8.6,1.0,0.5,4.08,0.0,1.0,17.68,2.5,0.0
2,2023-01-01T00:28:09.000,2023-01-01T00:55:34.000,1.0,2.69,1.0,N,237,90,1,24.0,1.0,0.5,0.0,0.0,1.0,29.0,2.5,0.0
1,2023-01-01T00:09:18.000,2023-01-01T00:28:25.000,1.0,3.6,1.0,N,107,236,1,21.2,3.5,0.5,7.85,0.0,1.0,34.05,2.5,0.0
1,2023-01-01T00:46:17.000,2023-01-01T01:25:30.000,1.0,3.3,1.0,N,43,125,1,30.3,3.5,0.5,2.0,0.0,1.0,37.3,2.5,0.0
2,2023-01-01T00:43:04.000,2023-01-01T00:50:04.000,2.0,1.55,1.0,N,107,233,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0
2,2023-01-01T00:15:17.000,2023-01-01T00:23:04.000,2.0,1.23,1.0,N,211,79,1,9.3,1.0,0.5,3.58,0.0,1.0,17.88,2.5,0.0
2,2023-01-01T00:21:43.000,2023-01-01T00:27:52.000,1.0,2.0,1.0,N,161,141,2,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0
2,2023-01-01T00:58:25.000,2023-01-01T01:12:26.000,1.0,3.86,1.0,N,79,141,1,18.4,1.0,0.5,4.68,0.0,1.0,28.08,2.5,0.0
2,2023-01-01T00:24:47.000,2023-01-01T00:32:59.000,1.0,1.63,1.0,N,263,151,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0
2,2023-01-01T00:12:31.000,2023-01-01T00:23:58.000,1.0,1.63,1.0,N,164,233,1,12.1,1.0,0.5,2.0,0.0,1.0,19.1,2.5,0.0
1,2023-01-01T00:27:27.000,2023-01-01T00:37:08.000,2.0,1.3,1.0,N,148,79,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0
2,2023-01-01T00:12:26.000,2023-01-01T00:27:05.000,1.0,2.21,1.0,N,140,143,1,15.6,1.0,0.5,3.0,0.0,1.0,23.6,2.5,0.0
2,2023-01-01T00:30:54.000,2023-01-01T00:42:38.000,1.0,1.75,1.0,N,90,48,1,12.8,1.0,0.5,5.34,0.0,1.0,23.14,2.5,0.0
2,2023-01-01T00:31:35.000,2023-01-01T00:39:57.000,1.0,1.63,1.0,N,107,232,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
2,2023-01-01T00:39:52.000,2023-01-01T01:02:30.000,2.0,11.37,1.0,N,162,121,2,45.7,1.0,0.5,0.0,6.55,1.0,57.25,2.5,0.0
1,2023-01-01T00:43:30.000,2023-01-01T01:17:03.000,2.0,5.8,1.0,N,211,36,1,33.8,3.5,0.5,7.75,0.0,1.0,46.55,2.5,0.0
2,2023-01-01T00:45:55.000,2023-01-01T01:15:24.000,2.0,5.54,1.0,N,143,13,1,31.0,1.0,0.5,9.0,0.0,1.0,45.0,2.5,0.0
2,2023-01-01T00:19:04.000,2023-01-01T00:25:17.000,2.0,1.06,1.0,N,262,236,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2023-01-01T00:12:01.000,2023-01-01T00:53:49.000,1.0,11.55,1.0,N,90,94,1,55.5,1.0,0.5,12.1,0.0,1.0,72.6,2.5,0.0
2,2023-01-01T00:11:19.000,2023-01-01T00:17:36.000,2.0,1.2,1.0,N,249,79,1,7.9,1.0,0.5,2.0,0.0,1.0,14.9,2.5,0.0
2,2023-01-01T00:26:20.000,2023-01-01T00:36:24.000,1.0,2.09,1.0,N,79,162,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
2,2023-01-01T00:08:06.000,2023-01-01T00:16:23.000,1.0,2.18,1.0,N,249,246,1,11.4,1.0,0.5,4.92,0.0,1.0,21.32,2.5,0.0
2,2023-01-01T00:43:42.000,2023-01-01T00:47:38.000,1.0,1.06,1.0,N,263,141,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
2,2023-01-01T00:46:17.000,2023-01-01T01:14:16.000,1.0,9.0,1.0,N,239,211,1,39.4,1.0,0.5,11.1,0.0,1.0,55.5,2.5,0.0
1,2023-01-01T00:12:14.000,2023-01-01T00:22:47.000,1.0,3.0,1.0,N,142,41,1,14.9,3.5,0.5,4.95,0.0,1.0,24.85,2.5,0.0
1,2023-01-01T00:29:27.000,2023-01-01T00:48:01.000,3.0,3.0,1.0,N,211,246,1,19.8,3.5,0.5,0.0,0.0,1.0,24.8,2.5,0.0
1,2023-01-01T00:59:51.000,2023-01-01T01:06:03.000,1.0,1.6,1.0,N,141,263,1,9.3,3.5,0.5,1.43,0.0,1.0,15.73,2.5,0.0
2,2023-01-01T00:51:17.000,2023-01-01T00:55:08.000,1.0,1.49,1.0,N,263,74,2,7.9,1.0,0.5,0.0,0.0,1.0,12.9,2.5,0.0
1,2023-01-01T00:40:00.000,2023-01-01T00:45:00.000,3.0,1.2,1.0,N,239,238,1,7.2,3.5,0.5,3.0,0.0,1.0,15.2,2.5,0.0
2,2023-01-01T00:32:31.000,2023-01-01T00:45:27.000,4.0,3.12,1.0,N,140,151,1,16.3,1.0,0.5,4.26,0.0,1.0,25.56,2.5,0.0
1,2023-01-01T00:59:49.000,2023-01-01T01:03:53.000,2.0,1.4,1.0,N,143,238,1,7.9,3.5,0.5,1.0,0.0,1.0,13.9,2.5,0.0
1,2023-01-01T00:15:15.000,2023-01-01T00:39:30.000,1.0,7.5,1.0,N,144,263,1,33.1,3.5,0.5,3.0,0.0,1.0,41.1,2.5,0.0
2,2023-01-01T00:06:42.000,2023-01-01T00:17:13.000,1.0,1.88,1.0,N,164,229,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
1,2023-01-01T00:31:09.000,2023-01-01T00:39:47.000,1.0,0.9,1.0,N,68,48,1,8.6,3.5,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2023-01-01T00:57:14.000,2023-01-01T01:02:15.000,2.0,0.47,1.0,N,233,161,1,6.5,1.0,0.5,3.45,0.0,1.0,14.95,2.5,0.0
1,2023-01-01T00:20:45.000,2023-01-01T00:26:14.000,2.0,0.8,1.0,N,162,163,2,6.5,3.5,0.5,0.0,0.0,1.0,11.5,2.5,0.0
2,2023-01-01T00:46:29.000,2023-01-01T00:51:54.000,1.0,1.4,1.0,N,236,237,1,8.6,1.0,0.5,2.58,0.0,0.3,15.48,2.5,0.0
2,2023-01-01T00:30:08.000,2023-01-01T00:42:22.000,1.0,1.11,1.0,N,246,246,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
2,2023-01-01T00:44:58.000,2023-01-01T01:15:06.000,3.0,6.09,1.0,N,231,263,1,31.7,1.0,0.5,7.34,0.0,1.0,44.04,2.5,0.0
2,2023-01-01T00:10:52.000,2023-01-01T00:18:23.000,2.0,1.29,1.0,N,238,238,2,9.3,1.0,0.5,0.0,0.0,1.0,14.3,2.5,0.0
2,2023-01-01T00:59:58.000,2023-01-01T01:11:43.000,1.0,2.04,1.0,N,137,114,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0
2,2023-01-01T00:19:17.000,2023-01-01T00:27:21.000,1.0,0.62,1.0,N,48,50,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2023-01-01T00:24:28.000,2023-01-01T00:36:19.000,1.0,1.95,1.0,N,48,163,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0
1,2023-01-01T00:39:29.000,2023-01-01T00:42:40.000,3.0,0.8,1.0,N,263,141,1,5.8,3.5,0.5,2.15,0.0,1.0,12.95,2.5,0.0
2,2023-01-01T00:51:28.000,2023-01-01T01:09:54.000,4.0,9.18,1.0,N,132,191,2,36.6,1.0,0.5,0.0,0.0,1.0,40.35,0.0,1.25
1,2023-01-01T00:50:11.000,2023-01-01T01:18:03.000,2.0,1.8,1.0,N,143,48,1,18.4,3.5,0.5,1.75,0.0,1.0,25.15,2.5,0.0
2,2023-01-01T00:15:15.000,2023-01-01T00:55:24.000,1.0,12.98,1.0,N,132,188,2,55.5,1.0,0.5,0.0,0.0,1.0,59.25,0.0,1.25
2,2023-01-01T00:49:40.000,2023-01-01T01:21:21.000,1.0,4.11,1.0,N,107,142,1,28.9,1.0,0.5,6.1,0.0,1.0,40.0,2.5,0.0
2,2023-01-01T00:22:05.000,2023-01-01T00:42:14.000,2.0,3.19,1.0,N,239,68,1,20.5,1.0,0.5,5.1,0.0,1.0,30.6,2.5,0.0
2,2023-01-01T00:08:20.000,2023-01-01T00:26:44.000,5.0,5.43,1.0,N,239,226,1,24.7,1.0,0.5,7.42,0.0,1.0,37.12,2.5,0.0
1,2023-01-01T00:27:58.000,2023-01-01T00:44:12.000,2.0,2.7,1.0,N,143,68,1,15.6,3.5,0.5,4.1,0.0,1.0,24.7,2.5,0.0
1,2023-01-01T00:05:27.000,2023-01-01T00:09:40.000,2.0,1.2,1.0,N,162,141,1,7.9,3.5,0.5,2.55,0.0,1.0,15.45,2.5,0.0
1,2023-01-01T00:48:25.000,2023-01-01T01:07:39.000,1.0,4.0,1.0,N,144,112,1,21.2,3.5,0.5,4.0,0.0,1.0,30.2,2.5,0.0
2,2023-01-01T00:39:06.000,2023-01-01T00:44:44.000,2.0,1.56,1.0,N,140,236,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0
2,2023-01-01T00:52:40.000,2023-01-01T01:04:40.000,3.0,2.13,1.0,N,148,170,1,13.5,1.0,0.5,1.0,0.0,1.0,19.5,2.5,0.0
2,2023-01-01T00:36:08.000,2023-01-01T00:49:39.000,5.0,1.08,1.0,N,162,164,1,12.8,1.0,0.5,1.0,0.0,1.0,18.8,2.5,0.0
2,2023-01-01T00:22:53.000,2023-01-01T00:32:23.000,1.0,1.71,1.0,N,13,211,1,11.4,1.0,0.5,4.1,0.0,1.0,20.5,2.5,0.0
2,2023-01-01T00:28:43.000,2023-01-01T00:42:25.000,1.0,4.6,1.0,N,79,261,1,21.2,1.0,0.5,5.0,0.0,1.0,31.2,2.5,0.0
2,2023-01-01T00:56:18.000,2023-01-01T01:07:11.000,1.0,1.4,1.0,N,79,90,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0
1,2023-01-01T00:27:17.000,2023-01-01T00:42:43.000,1.0,2.0,1.0,N,237,164,1,13.5,3.5,0.5,4.5,0.0,1.0,23.0,2.5,0.0
2,2023-01-01T00:09:48.000,2023-01-01T00:31:40.000,1.0,1.96,1.0,N,90,48,1,19.8,1.0,0.5,6.2,0.0,1.0,31.0,2.5,0.0
2,2023-01-01T00:52:16.000,2023-01-01T01:13:39.000,3.0,8.78,1.0,N,143,94,2,36.6,1.0,0.5,0.0,0.0,1.0,41.6,2.5,0.0
2,2023-01-01T00:51:58.000,2023-01-01T01:03:55.000,3.0,1.45,1.0,N,231,148,1,12.1,1.0,0.5,4.28,0.0,1.0,21.38,2.5,0.0
2,2023-01-01T00:53:39.000,2023-01-01T01:30:11.000,4.0,3.03,1.0,N,48,224,1,30.3,1.0,0.5,0.0,0.0,0.3,34.6,2.5,0.0
2,2023-01-01T00:29:47.000,2023-01-01T00:38:53.000,3.0,1.47,1.0,N,79,249,2,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0
1,2023-01-01T00:31:39.000,2023-01-01T00:50:39.000,1.0,5.0,1.0,N,239,107,2,23.3,3.5,0.5,0.0,0.0,1.0,28.3,2.5,0.0
1,2023-01-01T00:22:53.000,2023-01-01T00:51:20.000,1.0,6.0,1.0,N,142,79,2,32.4,3.5,0.5,0.0,0.0,1.0,37.4,2.5,0.0
2,2023-01-01T00:59:09.000,2023-01-01T01:25:37.000,1.0,5.5,1.0,N,142,4,1,28.9,1.0,0.5,6.78,0.0,1.0,40.68,2.5,0.0
1,2023-01-01T00:28:43.000,2023-01-01T00:33:57.000,2.0,1.0,1.0,N,140,262,1,7.2,3.5,0.5,2.4,0.0,1.0,14.6,2.5,0.0
1,2023-01-01T00:22:03.000,2023-01-01T00:27:28.000,1.0,0.9,1.0,N,151,238,1,7.2,3.5,0.5,3.65,0.0,1.0,15.85,2.5,0.0
2,2023-01-01T00:31:54.000,2023-01-01T00:35:21.000,1.0,0.84,1.0,N,233,137,1,6.5,1.0,0.5,2.3,0.0,1.0,13.8,2.5,0.0
1,2023-01-01T00:12:57.000,2023-01-01T00:27:15.000,1.0,2.2,1.0,N,246,224,1,13.5,3.5,0.5,0.03,0.0,1.0,18.53,2.5,0.0
2,2023-01-01T00:08:53.000,2023-01-01T00:17:08.000,1.0,1.41,1.0,N,79,231,1,10.7,1.0,0.5,2.36,0.0,1.0,18.06,2.5,0.0
2,2023-01-01T00:39:00.000,2023-01-01T00:51:49.000,1.0,2.6,1.0,N,161,113,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
2,2023-01-01T00:20:18.000,2023-01-01T00:27:56.000,2.0,1.19,1.0,N,142,50,4,9.3,1.0,0.5,0.0,0.0,1.0,14.3,2.5,0.0
2,2023-01-01T00:53:54.000,2023-01-01T01:03:23.000,1.0,2.12,1.0,N,79,229,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
2,2023-01-01T00:10:45.000,2023-01-01T00:26:21.000,1.0,1.32,1.0,N,162,164,1,14.9,1.0,0.5,4.97,0.0,1.0,24.87,2.5,0.0
2,2023-01-01T00:22:32.000,2023-01-01T00:32:55.000,2.0,2.35,1.0,N,142,24,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0
2,2023-01-01T00:17:54.000,2023-01-01T00:21:18.000,1.0,1.02,1.0,N,239,238,2,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0
2,2023-01-01T00:42:57.000,2023-01-01T01:02:15.000,1.0,1.63,1.0,N,43,48,1,17.0,1.0,0.5,4.4,0.0,1.0,26.4,2.5,0.0
2,2023-01-01T00:31:41.000,2023-01-01T00:51:10.000,1.0,1.18,1.0,N,68,164,1,17.0,1.0,0.5,6.6,0.0,1.0,28.6,2.5,0.0
1,2023-01-01T00:46:47.000,2023-01-01T00:56:10.000,1.0,1.7,1.0,N,79,170,1,10.7,3.5,0.5,0.0,0.0,1.0,15.7,2.5,0.0
2,2023-01-01T00:35:13.000,2023-01-01T00:46:47.000,1.0,2.27,1.0,N,79,162,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0
2,2023-01-01T00:13:21.000,2023-01-01T00:19:45.000,2.0,1.73,1.0,N,137,141,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0
1,2023-01-01T00:35:25.000,2023-01-01T01:02:45.000,3.0,7.2,1.0,N,107,158,1,35.2,3.5,0.5,8.0,0.0,1.0,48.2,2.5,0.0
2,2023-01-01T00:59:24.000,2023-01-01T01:14:26.000,1.0,0.0,1.0,N,141,193,2,13.5,1.0,0.5,0.0,0.0,1.0,18.5,2.5,0.0
2,2023-01-01T00:11:03.000,2023-01-01T00:11:52.000,1.0,0.08,1.0,N,41,41,2,3.0,1.0,0.5,0.0,0.0,1.0,5.5,0.0,0.0
2,2023-01-01T00:03:58.000,2023-01-01T00:15:33.000,1.0,6.52,1.0,N,88,140,1,26.1,1.0,0.5,7.78,0.0,1.0,38.88,2.5,0.0
2,2023-01-01T00:59:53.000,2023-01-01T01:09:15.000,1.0,1.4,1.0,N,114,107,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
1,2023-01-01T00:29:58.000,2023-01-01T01:11:51.000,2.0,4.9,1.0,N,114,239,1,38.7,3.5,0.5,7.0,0.0,1.0,50.7,2.5,0.0
2,2023-01-01T00:15:43.000,2023-01-01T00:22:33.000,4.0,1.12,1.0,N,262,75,1,8.6,1.0,0.5,1.09,0.0,1.0,14.69,2.5,0.0
2,2023-01-01T00:49:56.000,2023-01-01T01:30:46.000,1.0,1.94,1.0,N,237,141,2,18.4,1.0,0.5,0.0,0.0,1.0,23.4,2.5,0.0
2,2023-01-01T00:09:59.000,2023-01-01T00:33:44.000,1.0,3.57,1.0,N,143,234,1,21.9,1.0,0.5,4.04,0.0,1.0,30.94,2.5,0.0
2,2023-01-01T00:27:02.000,2023-01-01T00:41:37.000,1.0,1.72,1.0,N,4,249,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0
1,2023-01-01T00:15:37.000,2023-01-01T00:24:43.000,1.0,1.5,1.0,N,239,237,1,9.3,3.5,0.5,1.0,0.0,1.0,15.3,2.5,0.0
2,2023-01-01T00:45:43.000,2023-01-01T00:55:12.000,1.0,1.22,1.0,N,68,249,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0
1,2023-01-01T00:14:56.000,2023-01-01T00:26:41.000,1.0,2.4,1.0,N,170,148,1,12.8,3.5,0.5,4.45,0.0,1.0,22.25,2.5,0.0
1,2023-01-01T00:35:05.000,2023-01-01T00:46:24.000,1.0,2.6,1.0,N,107,140,1,14.2,3.5,0.5,5.0,0.0,1.0,24.2,2.5,0.0
